cand_id,bioguide_id,match_method,confidence
H2FL23021,H000324,authoritative,high
H2FL25018,D000600,authoritative,high
H2FL26057,G000573,authoritative_unverified,medium
H2GA01157,K000220,authoritative,high
H2GA02031,B000490,authoritative,high
H2GA03070,C000640,authoritative,high
H2GA08038,C000286,authoritative,high
H2GA09036,D000168,authoritative,high
H2GA09150,C001093,authoritative,high
H2GA11016,M000523,authoritative,high
H2GA11149,G000550,authoritative,high
H2GA12121,A000372,authoritative,high
H2GA13012,S001157,authoritative,high
H2GU00025,U000014,authoritative,high
H2GU00033,B001245,authoritative,high
H2GU01031,M001219,authoritative,high
H2HI02110,H001050,authoritative,high
H2HI02128,C001055,authoritative,high
H2HI02508,G000571,authoritative,high
H2HI02581,T000487,authoritative,high
H2IA01055,B001294,authoritative,high
H2IA03119,N000193,authoritative,high
H2IA05072,K000362,authoritative,high
H2ID02034,C000880,authoritative,high
H2IL01042,R000515,authoritative,high
H2IL01349,J000309,authoritative,high
H2IL02172,K000385,authoritative,high
H2IL03162,R000617,authoritative,high
H2IL05019,L000342,authoritative,high
H2IL05092,E000287,authoritative,high
H2IL08039,G000535,authoritative,high
H2IL08088,B001253,authoritative,high
H2IL10068,S001190,authoritative,high
H2IL11124,F000454,authoritative_unverified,medium
H2IL12122,E000292,authoritative,high
H2IL13120,D000619,authoritative,high
H2IL13153,B001315,authoritative,high
H2IL15034,E000282,authoritative,high
H2IL17071,B001286,authoritative,high
H2IL17147,S001225,authoritative,high
H2IL19010,E000250,authoritative,high
H2IL20026,D000563,authoritative,high
H2IL20042,S000364,authoritative,high
H2IN02295,Y000067,authoritative,high
H2IN05025,B001203,authoritative,high
H2IN05082,B001284,authoritative,high
H2IN06023,B001149,authoritative,high
H2KY03206,M001220,authoritative,high
H2KY04071,D000603,authoritative,high
H2KY04121,M001184,authoritative,high
H2LA02149,C001125,authoritative,high
H2LA05084,A000361,authoritative,high
H2LA05126,L000595,authoritative,high
H2MA01020,O000085,authoritative,high
H2MA04073,K000379,authoritative,high
H2MA05054,M000627,authoritative,high
H2MA09072,L000562,authoritative,high
H2MA11060,D000210,authoritative,high
H2MD02160,R000576,authoritative,high
H2MD04315,I000058,authoritative,high
H2MD05155,H000874,authoritative,high
H2MD05361,W000784,authoritative,high
H2MD06054,B000208,authoritative,high
H2MD06195,D000620,authoritative,high
H2MD08126,V000128,authoritative,high
H2ME02097,M001149,authoritative,high
H2MI00037,M001147,authoritative,high
H2MI01068,S001045,authoritative,high
H2MI02066,H000676,authoritative,high
H2MI04021,S000597,authoritative,high
H2MI05051,B000134,authoritative,high
H2MI05119,K000380,authoritative,high
H2MI07123,B001321,authoritative,high
H2MI10150,J000307,authoritative,high
H2MI11042,K000288,authoritative,high
H2MI11133,B001280,authoritative,high
H2MI11190,C001089,authoritative,high
H2MI13204,T000488,authoritative,high
H2MI14111,L000581,authoritative,high
H2MI17023,L000263,authoritative,high
H2MN01223,F000475,authoritative,high
H2MN02056,M000795,authoritative,high
H2MN06073,L000521,authoritative,high
H2MN06081,G000367,authoritative,high
H2MN07014,P000258,authoritative,high
H2MN08111,N000127,authoritative,high
H2MO02037,T000024,authoritative,high
H2MO02102,W000812,authoritative,high
H2MO04207,A000379,authoritative,high
H2MO07143,B001316,authoritative,high
H2MS04258,E000235,authoritative,high
H2MT01060,D000618,authoritative,high
H2NC01065,C000494,authoritative,high
H2NC01081,J000255,authoritative,high
H2NC02287,D000230,authoritative,high
H2NC05074,B001135,authoritative,high
