election_cycle,transaction_year,transaction_month,cand_id,bioguide_id,total_raised,transaction_count
1980,1979,,H6GA05142,,1950,7
1980,1979,,H6GA06033,,11000,33
1980,1979,,H6GA07072,,18301,21
1980,1979,,H6GA08062,,400,2
1980,1979,,H6GA09029,,250,1
1980,1979,,H6GA10027,,5650,20
1980,1979,,H6HI00016,,750,3
1980,1979,,H6HI01063,,1250,3
1980,1979,,H6HI02046,A000069,4600,15
1980,1979,,H6IA01015,L000169,48647,26
1980,1979,,H6IA01031,,200,1
1980,1979,,H6IA04043,,450,2
1980,1979,,H6IA05024,H000206,9500,22
1980,1979,,H6IA06022,,565,2
1980,1979,,H6ID01037,,1000,1
1980,1979,,H6ID02027,,1900,7
1980,1979,,H6IL03023,,1850,7
1980,1979,,H6IL04021,,7350,25
1980,1979,,H6IL06026,H001022,18599,46
1980,1979,,H6IL10028,,400,2
1980,1979,,H6IL10044,,750,2
1980,1979,,H6IL10051,,1850,5
1980,1979,,H6IL12016,C000873,2750,5
1980,1979,,H6IL13022,,11700,21
1980,1979,,H6IL14020,,200,1
1980,1979,,H6IL15019,,700,3
1980,1979,,H6IL17049,,1300,4
1980,1979,,H6IL18021,,500,1
1980,1979,,H6IL19037,,1000,4
1980,1979,,H6IL20027,,3596,11
1980,1979,,H6IL21025,,1700,7
1980,1979,,H6IL24037,,500,1
1980,1979,,H6IN01025,,38950,107
1980,1979,,H6IN02023,,6650,15
1980,1979,,H6IN03039,,3830,10
1980,1979,,H6IN05042,,2200,6
1980,1979,,H6IN06032,,4100,5
1980,1979,,H6IN07030,,700,3
1980,1979,,H6IN07071,,200,1
1980,1979,,H6IN10059,,700,4
1980,1979,,H6IN10075,,1723,3
1980,1979,,H6KS03043,,250,1
1980,1979,,H6KS04041,,17389,85
1980,1979,,H6KY01029,,500,1
1980,1979,,H6KY03025,,600,4
1980,1979,,H6KY04031,,8700,37
1980,1979,,H6LA01084,,7925,24
1980,1979,,H6LA01167,,1490,2
1980,1979,,H6LA05051,,3250,10
1980,1979,,H6LA06034,,1500,6
1980,1979,,H6LA07024,B000780,29421,89
1980,1979,,H6LA08014,,1603,2
1980,1979,,H6MA01021,,4150,17
1980,1979,,H6MA04017,,2150,1
1980,1979,,H6MA04025,,1000,4
1980,1979,,H6MA06046,,200,1
1980,1979,,H6MA07101,M000133,15700,58
1980,1979,,H6MA08042,,2000,2
1980,1979,,H6MA08067,,600,2
1980,1979,,H6MA09032,M000834,30,2
1980,1979,,H6MA10022,,4900,12
1980,1979,,H6MD01015,,425,1
1980,1979,,H6MD01023,,13170,32
1980,1979,,H6MD02039,,1250,6
1980,1979,,H6MD03078,M000702,1200,3
1980,1979,,H6MD04035,,650,2
1980,1979,,H6MD07038,,450,1
1980,1979,,H6MD08101,,9550,20
1980,1979,,H6ME01025,,3575,10
1980,1979,,H6ME01074,,200,1
